DateTime,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Hour,Weekday,Month
2004-03-10 18:00:00,0.293315925317201,1360,150,0.1490381614497886,1046,166,1056,113,1692,1268,-0.9082414515560662,0.03644074454220972,-1.0335896111350764,18,2,3
2004-03-10 19:00:00,-0.12149153617006529,1292,112,-0.17479545952788914,955,103,1174,92,1559,972,-0.94589763839422,-0.03289589657510169,-1.1214953703623476,19,2,3
2004-03-10 20:00:00,0.016777617659023584,1402,88,-0.22660883888431763,939,131,1140,114,1555,1074,-1.1216265103056053,0.33112146929078434,-1.0542733191885523,20,2,3
2004-03-10 21:00:00,0.016777617659023584,1376,80,-0.2007021492061035,948,172,1092,122,1584,1203,-1.2345950708200673,0.6778046748773426,-0.9549370897212026,21,2,3
2004-03-10 22:00:00,-0.39802984382824275,1272,51,-0.5504424598619954,836,131,1205,116,1490,1110,-1.2094909462612982,0.6546924611715721,-0.9492218546011634,22,2,3
2004-03-10 23:00:00,-0.6745681514864204,1197,38,-0.7836026669659233,750,89,1337,96,1393,949,-1.2094909462612982,0.6315802474658017,-0.9601080167345712,23,2,3
2004-03-11 00:00:00,-0.6745681514864204,1185,31,-0.9260894601961015,690,62,1462,77,1333,733,-1.1969388839819133,0.492906965231178,-1.0267857598016965,0,3,3
2004-03-11 01:00:00,-0.812837305315509,1136,31,-0.9649494947134228,672,62,1453,76,1333,730,-1.2722512576582214,0.6778046748773426,-0.9998425085215112,1,3,3
2004-03-11 02:00:00,-0.8819718822300535,1094,24,-1.094482943104494,609,45,1579,60,1276,620,-1.2722512576582214,0.6604705145980149,-1.0145388274016123,2,3,3
2004-03-11 03:00:00,-1.0893756129736865,1010,19,-1.1722030121391367,561,33,1705,47,1235,501,-1.3224595067757599,0.6893607817302281,-1.050191008388524,3,3,3
2004-03-11 04:00:00,-1.0548083245164144,1011,14,-1.2240163914955648,527,21,1818,34,1197,445,-1.3475636313345294,0.7066949420095557,-1.0643430191619545,4,3,3
2004-03-11 05:00:00,-1.0202410360591423,1066,8,-1.2499230811737794,512,16,1918,28,1182,422,-1.2345950708200673,0.4582386446725225,-1.0912862704421398,5,3,3
2004-03-11 06:00:00,-1.0202410360591423,1052,16,-1.1851563569782437,553,34,1738,48,1221,472,-1.2973553822169908,0.5680216597749326,-1.0948242731354978,6,3,3
2004-03-11 07:00:00,-0.7437027284009646,1144,29,-0.9779028395525299,667,98,1490,82,1339,730,-1.3350115690551447,0.6546924611715721,-1.0774064137220445,7,3,3
2004-03-11 08:00:00,-0.12149153617006529,1333,64,-0.3561422872753887,900,174,1136,112,1517,1102,-1.2596991953788366,0.5275752857898339,-1.0798558002020613,8,3,3
